Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2143629.927984389,17201985.56866338,433680.77939757734,3890702.7624781607,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143594.422150734,15104880.278558617,433677.8485427856,5768956.173817043,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143700.5853848504,12550763.039725538,433745.5795641507,6983161.403638935,4
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2143555.2431569756,16803254.297942437,433644.7316054401,2487239.4623716422,4
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143583.4785818625,14839995.926740512,433677.8783816282,8266009.160714054,4
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143666.576066992,11817627.6660323,433737.05321698746,10055637.386901096,4
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143583.9946361384,14841998.802984437,433680.4272034098,8262380.62769844,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2143490.2767243176,9285977.744696645,433629.80491143273,8002193.466135994,5
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",2143577.438081831,11068316.0607095,433641.4965109285,9159603.534258483,5
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",2143512.632612703,9236145.642971868,433619.9131806352,7923385.583296979,5
